order,pipeline_symbol,pipeline_n,pipeline_beat,pipeline_ratio,pipeline_syllable,human_symbol,human_n,human_beat,human_ratio,human_syllable,same_symbol
1,Cm,1,3,0.516,,Cm,1,1,0,,True
2,Ab,2,3,0.579,,Ab,2,1,0,,True
3,Fm,4,1,0.015,,Fm,3,1,0,,True
4,G,7,1,0.159,,G,4,1,0,,True
5,Cm,11,1,0.241,,Cm,5,1,0,,True
6,Ab,12,4,0.816,in,Ab,6,1,0,,True
7,Fm,13,4,0.819,daqui,Fm,7,1,0,,True
8,G,16,4,0.888,fa,G,8,1,0,,True
9,Cm,20,2,0.491,in,G,9,1,0,"""A-",False
10,Fm,22,1,0.222,tre-mer,Cm,10,1,0,in-,False
11,Bb,23,2,0.26,tre-mer,Fm,11,1,0,da-,False
12,Ab,26,3,0.678,ea,Bb,12,1,0,rei,False
13,Fm,28,2,0.425,es,Eb,13,1,0,e,False
14,G,34,1,0.092,de-se-ja-do,Ab,14,1,0,mar,False
15,Cm,36,2,0.303,"""E",Fm,15,1,0,rei,False
16,C,36,3,0.701,as-sim,Fm,16,1,0,e,False
17,Fm,37,1,0.101,es,G,17,1,0,de-,False
18,Bb,39,1,0.241,com,G,18,1,0,,False
19,Bb7,39,4,0.862,gló-ria,Cm,19,1,0,"""E",False
20,Eb,41,2,0.459,es,C,19,3,0.5,rei,False
21,Ab,47,2,0.469,diz,Fm,20,1,0,sim,False
22,Fm,48,3,0.65,xér,Bb,21,1,0,com,False
23,G7,49,4,0.969,diz,Bb7,21,3,0.5,gló-,False
24,G,51,1,0.071,,Eb,22,1,0,rei,False
25,Cm,52,1,0.21117025131069514,fim,Ab,23,1,0,diz,False
26,Fm,52,4,0.7743456857663499,gló-ria,Fm,24,1,0,xér-,True
27,Bb,53,2,0.352590619732951,sim,G7,25,1,0,diz,False
28,Eb,53,4,0.8634114449956919,"""ea",G,26,1,0,,False
29,Cm,55,4,0.9693877034974858,fim,Cm,27,1,0,"""Mi-",True
30,Fm,57,2,0.2547173635327363,gló-ria,Fm,28,1,0,e,True
31,Bb,58,1,0.24042636114515462,ci,Bb,29,1,0,sim,True
32,Eb,59,1,0.08788950959203985,-,Eb,30,1,0,"""e a ",True
33,Ab,60,4,0.869,,Ab,31,1,0,fim,True
34,Fm,63,1,0.157,dos,Fm,32,1,0,gló-,True
35,G,64,1,0.05,-,Fm,33,1,0,e,False
36,G7,66,2,0.419,,G,34,1,0,rei,False
37,Cm,68,2,0.294,,G,35,1,0,_,False
38,C,69,3,0.506,,Cm,36,1,0,"""E",False
39,Fm,70,1,0.127,,C,36,3,0.5,rei,False
40,Bb,85,2,0.254,rei),Fm,37,1,0,sim,False
41,Bb7,85,2,0.479,rei),Bb,38,1,0,com,False
42,Eb,85,4,0.764,rei),Bb7,38,3,0.5,gló-,False
43,Ab,86,2,0.393,"gar),",Eb,39,1,0,rei,False
44,Fm,87,1,0.232,diz,Ab,40,1,0,diz,False
45,G7,88,4,0.837,"nhor.""",Fm,41,1,0,xér-,False
46,Cm,100,1,0.05,,G7,42,1,0,diz,False
47,Ab,103,3,0.564,,Cm,43,1,0,xér-,False
48,Fm,107,2,0.326374468138128,,C,43,3,0.5,tos,False
49,G,109,2,0.2899014340736898,,Fm,44,1,0,sim,False
50,Cm,114,4,0.8026776096120274,,Bb,45,1,0,com,False
51,,,,,,Bb7,45,3,0.5,gló-,False
52,,,,,,Eb,46,1,0,rei,False
53,,,,,,Ab,47,1,0,diz,False
54,,,,,,Fm,48,1,0,xér-,False
55,,,,,,G7,49,1,0,diz,False
56,,,,,,G7,50,1,0,_,False
57,,,,,,Cm,51,1,0,sus.,False
58,,,,,,Ab,52,1,0,,False
59,,,,,,Fm,53,1,0,,False
60,,,,,,G,54,1,0,,False
61,,,,,,G,55,1,0,,False
62,,,,,,Cm,56,1,0,,False
