source,page,system,measure_n,local_n,symbol,correction_type,correct,status,presence_only,rule,match_method,beat_pipeline,beat_human,beat_delta,ratio_pipeline,ratio_delta,protocol_syllable,human_syllable,protocol_cx,protocol_syllable_cx,human_cx_display,human_syllable_cx,nota_anchor
pipeline,0,2,1,1,Cm,unvalidated,,unvalidated,True,T90.3_PAUSA,n_sym_presence,3,0,2.0,0.516,0.516,,,101.8,,0,,Œ@100
pipeline,0,2,2,2,Ab,unvalidated,,unvalidated,True,VAZIO,n_sym_presence,3,0,2.0,0.579,0.579,,,190.2,,0,,œ@190
pipeline,0,2,4,5,Fm,unvalidated,False,unvalidated,False,VAZIO,near_measure_ratio,1,0,0.0,0.015,0.015,,,278.7,,0,,œ@278
pipeline,0,2,7,9,G,unvalidated,False,unvalidated,False,VAZIO,near_measure_ratio,1,0,0.0,0.159,0.159,,,375.4,,0,,œ@375
pipeline,0,2,11,13,Cm,melisma_undetected,False,corrected,False,T90.2_MELISMA,near_measure_ratio,1,0,0.0,0.241,0.241,,in-,473.8,,0,0,œ@492
pipeline,0,3,12,1,Ab,unvalidated,,unvalidated,True,T90,presence_align,4,0,3.0,0.816,0.816,in,,95.9,95.6,0,,œ@170
pipeline,0,3,13,2,Fm,unvalidated,,unvalidated,True,T90,presence_align,4,0,3.0,0.819,0.819,daqui,,199.0,229.8,0,,œ@236
pipeline,0,3,16,5,G,unvalidated,,unvalidated,True,T90,presence_align,4,0,3.0,0.888,0.888,fa,"""A-",311.8,307.3,0,0.875,œ@311
pipeline,0,4,20,1,Cm,unvalidated,,unvalidated,True,T90,presence_seq,2,0,1.0,0.491,0.491,in,,95.9,95.6,0,,˙@95
pipeline,0,4,22,3,Fm,wrong_syllable,False,corrected,False,T90,near_measure_ratio,1,0,0.0,0.222,0.222,tre-mer,sim,208.6,224.7,0,0,œ@223
pipeline,0,4,23,4,Bb,wrong_syllable,False,corrected,False,T90,near_measure_ratio,2,0,1.0,0.26,0.26,tre-mer,com,327.8,353.4,0,0.125,œ@345
pipeline,0,4,23,4,Eb,unvalidated,,unvalidated,True,T90,presence_align,3,0,2.0,0.688,0.688,"céus,",e,433.7,396.2,0,0.125,˙@396
pipeline,0,5,26,1,Ab,unvalidated,,unvalidated,True,T90,presence_align,3,0,2.0,0.678,0.678,ea,mar,95.9,112.1,0,0,œ@113
pipeline,0,5,28,3,Fm,unvalidated,,unvalidated,True,T90,n_sym_presence,2,0,1.0,0.425,0.425,es,e,200.1,221.3,0,0.125,œ@216
pipeline,0,5,34,11,G,wrong_syllable,False,corrected,False,T90,n_sym_ratio,1,0,0.0,0.092,0.092,de-se-ja-do,rei,405.0,425.0,0,0,œ@405
pipeline,0,6,36,1,Cm,unvalidated,,unvalidated,True,T90,n_sym_presence,2,0,1.0,0.303,0.303,"""E","""E",95.9,93.4,0,0,œ@96
pipeline,0,6,36,1,C,wrong_syllable,False,corrected,False,T90,n_sym_ratio,3,4,0.0,0.701,0.20099999999999996,as-sim,rei,154.4,198.1,0.5,0.5,œ@155
pipeline,0,6,37,2,Fm,wrong_syllable,False,corrected,False,T90,n_sym_ratio,1,0,0.0,0.101,0.101,es,sim,209.5,221.3,0,0,œ@207
pipeline,0,6,39,4,Bb,correct,True,correct,False,T90,near_measure_ratio,1,0,0.0,0.241,0.241,com,com,323.2,336.5,0,0.125,œ@337
pipeline,0,6,39,4,Bb7,wrong_syllable,False,corrected,False,T90,near_measure_loose,4,4,1.0,0.862,0.362,gló-ria,gló-,386.3,393.2,0.5,0.5,œ@387
pipeline,0,6,41,6,Eb,unvalidated,,unvalidated,True,T90,presence_align,2,0,1.0,0.459,0.459,es,rei,450.3,464.9,0,0,œ@451
pipeline,0,8,47,1,Ab,unvalidated,,unvalidated,True,T90,n_sym_presence,2,0,1.0,0.469,0.469,diz,diz,95.9,111.5,0,0.125,œ@112
pipeline,0,8,48,2,Fm,unvalidated,,unvalidated,True,T90,n_sym_presence,3,0,2.0,0.65,0.65,xér,xér-,237.5,240.6,0,0,œ@238
pipeline,0,8,49,3,G7,unvalidated,,unvalidated,True,T90,n_sym_presence,4,0,3.0,0.969,0.969,diz,diz,356.0,362.1,0,0.125,œ@363
pipeline,0,8,51,5,G,unvalidated,,unvalidated,True,VAZIO,presence_align,1,0,0.0,0.071,0.071,,,467.4,,0,,˙@470
pipeline,1,9,52,1,Cm,wrong_syllable,False,corrected,False,V90,near_measure_ratio,1,0,0.0,0.21117025131069514,0.21117025131069514,fim,sus.,95.9,95.7,0,0,
pipeline,1,9,52,1,Fm,unvalidated,,unvalidated,True,V90,presence_seq,4,0,3.0,0.7743456857663499,0.7743456857663499,gló-ria,xér-,213.5,208.3,0,0,
pipeline,1,9,53,2,Bb,unvalidated,,unvalidated,True,V90,presence_align,2,0,1.0,0.352590619732951,0.352590619732951,sim,sim,331.1,330.9,0,0,
pipeline,1,9,53,2,Eb,unvalidated,,unvalidated,True,V90,presence_align,4,0,3.0,0.8634114449956919,0.8634114449956919,"""ea","""e a ",433.2,444.8,0,0.125,
