review_kind,suggested_action,melisma_reason,melisma_used_source,page,system,measure_n,local_n,symbol,status,correction_type,correct,match_method,presence_only,alignment_conflict,rule,beat_pipeline,beat_human,beat_delta,ratio_pipeline,ratio_delta,protocol_syllable,human_syllable,same_syllable,protocol_cx,protocol_syllable_cx,human_cx_display,human_syllable_cx,delta_cx,nota_anchor,review_decision,review_note
confirmed_correct,manter,,,0,3,15,2,A,correct,correct,True,n_sym_ratio,False,False,T90,3,5,0.0,0.624,0.0010000000000000009,-,-,True,308.3,303.8,0.625,0.625,303.175,œ@308,,
confirmed_correct,manter,,,0,3,15,2,A9,correct,correct,True,n_sym_ratio,False,False,T90,2,3,0.0,0.434,0.059,-,-,True,283.1,277.2,0.375,0.375,276.825,œ@283,,
confirmed_correct,manter,,,0,3,15,2,Am6(add9),correct,correct,True,n_sym_ratio,False,False,T90,4,7,0.0,0.857,0.018000000000000016,e,e,True,356.1,357.1,0.875,0.875,356.225,œ@338,,
confirmed_correct,manter,,,0,3,16,3,G#m/B,correct,correct,True,n_sym_ratio,False,False,T90,4,7,0.0,0.898,0.02300000000000002,"no,","no,",True,431.4,406.6,0.875,0.875,405.725,œ@427,,
confirmed_correct,manter,,,0,3,17,4,A/B,correct,correct,True,n_sym_ratio,False,False,T90,4,6,0.0,0.793,0.04300000000000004,me,me,True,526.4,534.0,0.75,0.75,533.25,œ@526,,
confirmed_correct,manter,,,0,3,17,4,B7,correct,correct,True,n_sym_ratio,False,False,T90,4,7,0.0,0.921,0.04600000000000004,me,me,True,541.2,534.0,0.875,0.875,533.125,œ@541,,
confirmed_correct,manter,,,0,3,17,4,G#m/B,correct,correct,True,n_sym_ratio,False,False,T90,3,4,0.0,0.521,0.02100000000000002,pra,pra,True,494.5,502.3,0.5,0.5,501.8,œ@495,,
confirmed_correct,manter,,,0,4,18,1,E9,correct,correct,True,n_sym_ratio,False,False,T90,3,4,0.0,0.535,0.03500000000000003,dar,dar,True,104.9,101.0,0.5,0.5,100.5,˙@102,,
confirmed_correct,manter,,,0,4,20,3,B7(add9),correct,correct,True,n_sym_ratio,False,False,T90,2,2,0.0,0.25,0.0,vi,vi,True,183.1,182.7,0.25,0.25,182.45,œ@183,,
confirmed_correct,manter,,,0,4,22,5,A9,correct,correct,True,n_sym_ratio,False,False,T90,2,4,1.0,0.462,0.03799999999999998,-,-,True,288.9,295.5,0.5,0.5,295.0,œ@290,,
confirmed_correct,manter,,,0,4,25,8,C#m7,correct,correct,True,n_sym_ratio,False,False,T90,3,5,0.0,0.602,0.02300000000000002,-,-,True,405.2,404.2,0.625,0.625,403.575,œ@404,,
confirmed_correct,manter,,,0,4,25,8,G#m7,correct,correct,True,n_sym_ratio,False,False,T90,2,2,0.0,0.269,0.019000000000000017,queeupu,queeupu,True,380.5,382.3,0.25,0.25,382.05,œ@378,,
confirmed_correct,manter,,,0,4,26,9,F#m7,correct,correct,True,n_sym_ratio,False,False,T90,2,3,0.0,0.327,0.04799999999999999,ter,ter,True,462.6,476.6,0.375,0.375,476.225,œ@466,,
confirmed_correct,manter,,,0,4,26,9,G#m7A,correct,correct,True,n_sym_ratio,False,False,T90,3,5,0.0,0.672,0.04700000000000004,ter,ter,True,490.6,476.6,0.625,0.625,475.975,œ@500,,
confirmed_correct,manter,,,0,4,27,10,A#m7(b5),correct,correct,True,n_sym_ratio,False,False,T90,1,2,1.0,0.229,0.02099999999999999,a,a,True,546.0,535.3,0.25,0.25,535.05,œ@535,,
confirmed_correct,manter,,,0,6,42,1,A9,correct,correct,True,n_sym_ratio,False,False,T90,4,7,0.0,0.859,0.016000000000000014,na,na,True,182.5,191.2,0.875,0.875,190.325,œ@183,,
confirmed_correct,manter,,,0,6,42,1,B,correct,correct,True,n_sym_ratio,False,False,T90,2,3,0.0,0.337,0.03799999999999998,vi-dae,vi-dae,True,106.1,113.1,0.375,0.375,112.725,˙@103,,
confirmed_correct,manter,,,0,6,43,2,C#m7,correct,correct,True,n_sym_ratio,False,False,T90,4,7,0.0,0.904,0.029000000000000026,a,a,True,309.0,305.9,0.875,0.875,305.025,œ@309,,
confirmed_correct,manter,,,0,6,43,2,G#m7,correct,correct,True,n_sym_ratio,False,False,T90,3,5,0.0,0.654,0.029000000000000026,a,a,True,280.2,305.9,0.625,0.625,305.275,œ@280,,
confirmed_correct,manter,,,0,6,47,6,F#m7,correct,correct,True,n_sym_ratio,False,False,T90,2,2,0.0,0.269,0.019000000000000017,"paz,","paz,",True,375.7,374.5,0.25,0.25,374.25,œ@377,,
confirmed_correct,manter,,,0,6,49,8,A,correct,correct,True,n_sym_ratio,False,False,T90,1,0,0.0,0.033,0.033,li,li,True,416.7,424.6,0,0,424.6,œ@413,,
confirmed_correct,manter,,,0,6,50,9,A#m7(b5),correct,correct,True,n_sym_ratio,False,False,T90,1,1,0.0,0.086,0.03900000000000001,ber-ta,ber-ta,True,454.9,457.2,0.125,0.125,457.075,œ@450,,
confirmed_correct,manter,,,0,6,50,9,B,correct,correct,True,n_sym_ratio,False,False,T90,2,3,0.0,0.333,0.04199999999999998,-,-,True,478.6,479.0,0.375,0.375,478.625,˙@478,,
